2025-10-08 00:00:00.863 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:00.879 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:00.895 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:00.911 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:00.927 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:00.942 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:00.958 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:00.973 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:00.989 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.005 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.020 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.036 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.051 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.067 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.083 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.099 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.114 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.130 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.146 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.160 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.176 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.192 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.207 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.222 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.237 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.253 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.268 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.283 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.299 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.314 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.330 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.345 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.360 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.376 [Thread-0] DEBUG com.rivet.game.Rivet - FPS: 64
2025-10-08 00:00:01.376 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.392 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.407 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.423 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.439 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.454 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.469 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.485 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.500 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.515 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.530 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.547 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.562 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.578 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.594 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.609 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.625 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.640 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.656 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.671 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.686 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.702 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.718 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.733 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.749 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.764 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.780 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.795 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.811 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.826 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.842 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.857 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.873 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.888 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.904 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.919 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.934 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.950 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.965 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.980 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:01.996 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
2025-10-08 00:00:02.012 [Thread-0] DEBUG com.rivet.game.Rivet - Окно работает, рендеринг текста отключен
